iter	Accuracy	MultiClass
0	0.8841185925	1.167246211
1	0.8849771168	1.01478685
2	0.891177211	0.8990871927
3	0.8953826888	0.8062278914
4	0.8966833853	0.7306975267
5	0.8976806935	0.66790135
6	0.8981664375	0.6158139822
7	0.8977533131	0.5709933585
8	0.8979405101	0.532706072
9	0.8983617034	0.499378397
10	0.8987264148	0.469826988
11	0.8997963426	0.4441496293
12	0.9018167793	0.4208158139
13	0.9025881601	0.3995760381
14	0.9031239309	0.3801086328
15	0.9041599695	0.3633855901
16	0.9042697057	0.3485209015
17	0.9052508763	0.3349837635
18	0.9059270448	0.3229496733
19	0.9068404371	0.3124610426
20	0.9075069231	0.3019172918
21	0.9072955195	0.2925479854
22	0.9079055236	0.2850308804
23	0.9093337077	0.2770563733
24	0.9098597959	0.2702101165
25	0.9103390848	0.2634006738
26	0.9112411808	0.2575777473
27	0.9120706572	0.2520543763
28	0.9122062136	0.2474965425
29	0.9130921719	0.2423436572
30	0.9135553232	0.2379046118
31	0.9140927077	0.2344735407
32	0.9145171285	0.2304001397
33	0.9150706507	0.2272311544
34	0.915609649	0.2241034715
35	0.9159872706	0.2211132615
36	0.916074414	0.2184718521
37	0.9165375653	0.2156424136
38	0.9169991027	0.2131557745
39	0.9175042119	0.2109766339
40	0.9180044798	0.2090031603
41	0.9183885565	0.2072043013
42	0.9185386368	0.2051467605
43	0.91894692	0.2035727826
44	0.919251922	0.2016689154
45	0.9195246487	0.2002057453
46	0.9198877463	0.1990274429
47	0.9201895208	0.1976765936
48	0.9204929091	0.1964927061
49	0.9208156626	0.1952502691
50	0.921020611	0.1942622905
51	0.9212191044	0.1929309198
52	0.9213239993	0.1916196455
53	0.9216322289	0.1906374411
54	0.921874294	0.1895043369
55	0.9220372845	0.188825836
56	0.9222406192	0.1879103382
57	0.9224132923	0.1871233618
58	0.9225778966	0.1864189524
59	0.9227780037	0.1856026887
60	0.9229458355	0.1848844991
61	0.9231636941	0.184173206
62	0.9232524513	0.1833092857
63	0.9235009715	0.1825080754
64	0.9237624018	0.1816454159
65	0.9238737518	0.1810169543
66	0.9241158169	0.1804259246
67	0.9242400769	0.1799130618
68	0.924433729	0.179352845
69	0.9245241	0.1785868728
70	0.9246435188	0.1780678197
71	0.9248629912	0.1774901918
72	0.9250082302	0.176889656
73	0.9251663794	0.176449274
74	0.9252502953	0.1758037545
75	0.9253906931	0.175292871
76	0.9255536836	0.174866723
77	0.9256989226	0.1744778429
78	0.9258441617	0.1740962878
79	0.9258925747	0.1735346841
80	0.9260507239	0.1730551935
81	0.9261733703	0.1726028217
82	0.9262879477	0.172188676
83	0.9263379745	0.1718440863
84	0.926404139	0.171556697
85	0.926521944	0.1712613019
86	0.9265897222	0.1709329885
87	0.9266381353	0.1705676215
88	0.9268317873	0.1700960232
89	0.9268882692	0.1697209357
90	0.9269625025	0.1694011577
91	0.9270690111	0.1688957207
92	0.927167451	0.1685983084
93	0.927285256	0.1682474148
94	0.9273578755	0.1679886447
95	0.9274482465	0.1676887614
96	0.9275515276	0.1674523823
97	0.927632216	0.1671911915
98	0.9277274282	0.1669313245
99	0.927840392	0.1666413633
