iter	Passed	Remaining
0	19	5978
1	38	5754
2	56	5637
3	74	5534
4	94	5547
5	112	5535
6	134	5609
7	155	5663
8	176	5695
9	197	5715
10	215	5673
11	236	5677
12	256	5669
13	276	5648
14	293	5578
15	313	5565
16	331	5524
17	349	5474
18	373	5521
19	392	5499
20	412	5478
21	430	5439
22	451	5434
23	473	5439
24	491	5401
25	509	5368
26	529	5351
27	548	5327
28	567	5306
29	587	5283
30	607	5271
31	626	5248
32	647	5239
33	666	5214
34	686	5201
35	706	5181
36	725	5156
37	743	5128
38	761	5098
39	782	5083
40	801	5061
41	819	5035
42	839	5014
43	858	4993
44	876	4969
45	895	4942
46	914	4922
47	934	4904
48	952	4880
49	976	4881
50	994	4856
51	1015	4842
52	1035	4824
53	1055	4806
54	1075	4789
55	1094	4769
56	1113	4746
57	1131	4722
58	1150	4700
59	1170	4680
60	1189	4660
61	1208	4638
62	1228	4621
63	1250	4610
64	1269	4588
65	1289	4572
66	1310	4555
67	1331	4541
68	1349	4517
69	1370	4504
70	1389	4480
71	1408	4460
72	1428	4443
73	1452	4437
74	1472	4418
75	1491	4394
76	1509	4372
77	1529	4354
78	1550	4337
79	1570	4320
80	1590	4299
81	1607	4274
82	1627	4255
83	1647	4235
84	1666	4214
85	1684	4191
86	1705	4174
87	1724	4153
88	1743	4133
89	1763	4114
90	1781	4092
91	1802	4074
92	1821	4054
93	1841	4035
94	1860	4014
95	1879	3993
96	1897	3971
97	1917	3952
98	1936	3930
99	1956	3913
100	1974	3890
101	1992	3868
102	2012	3848
103	2030	3826
104	2048	3804
105	2067	3784
106	2085	3760
107	2105	3742
108	2125	3724
109	2146	3706
110	2169	3694
111	2190	3677
112	2210	3658
113	2231	3640
114	2251	3622
115	2270	3601
116	2290	3582
117	2310	3564
118	2330	3544
119	2348	3523
120	2368	3504
121	2388	3485
122	2408	3466
123	2428	3446
124	2449	3429
125	2470	3411
126	2488	3390
127	2507	3369
128	2528	3351
129	2548	3332
130	2567	3312
131	2586	3291
132	2608	3275
133	2628	3256
134	2649	3238
135	2669	3218
136	2689	3200
137	2708	3180
138	2728	3160
139	2747	3140
140	2770	3124
141	2789	3103
142	2808	3082
143	2828	3063
144	2847	3043
145	2867	3024
146	2886	3003
147	2903	2982
148	2922	2961
149	2940	2940
150	2960	2921
151	2980	2901
152	2999	2882
153	3018	2861
154	3038	2842
155	3058	2823
156	3080	2805
157	3099	2786
158	3119	2765
159	3139	2746
160	3160	2728
161	3180	2709
162	3200	2689
163	3218	2669
164	3236	2648
165	3257	2629
166	3276	2609
167	3296	2589
168	3316	2570
169	3336	2551
170	3361	2535
171	3382	2516
172	3400	2496
173	3421	2477
174	3442	2458
175	3461	2438
176	3480	2418
177	3498	2398
178	3519	2379
179	3539	2359
180	3561	2341
181	3582	2322
182	3601	2302
183	3620	2282
184	3639	2262
185	3658	2242
186	3677	2222
187	3696	2202
188	3714	2181
189	3733	2161
190	3750	2140
191	3771	2121
192	3790	2101
193	3809	2081
194	3829	2061
195	3849	2042
196	3867	2022
197	3886	2002
198	3905	1982
199	3926	1963
200	3943	1942
201	3964	1923
202	3982	1902
203	4001	1882
204	4021	1863
205	4040	1843
206	4059	1823
207	4080	1804
208	4100	1785
209	4120	1766
210	4141	1746
211	4160	1726
212	4182	1708
213	4201	1688
214	4220	1668
215	4240	1649
216	4258	1628
217	4281	1610
218	4301	1591
219	4321	1571
220	4341	1551
221	4361	1532
222	4381	1512
223	4401	1493
224	4418	1472
225	4442	1454
226	4463	1435
227	4486	1416
228	4506	1397
229	4524	1377
230	4542	1356
231	4563	1337
232	4583	1318
233	4603	1298
234	4623	1278
235	4644	1259
236	4666	1240
237	4686	1220
238	4706	1201
239	4726	1181
240	4745	1161
241	4764	1141
242	4782	1121
243	4802	1102
244	4822	1082
245	4842	1063
246	4861	1043
247	4880	1023
248	4901	1003
249	4921	984
250	4941	964
251	4960	944
252	4980	925
253	5000	905
254	5020	885
255	5039	866
256	5060	846
257	5080	827
258	5102	807
259	5122	788
260	5141	768
261	5163	748
262	5182	729
263	5204	709
264	5222	689
265	5242	670
266	5261	650
267	5282	630
268	5300	610
269	5321	591
270	5342	571
271	5363	552
272	5383	532
273	5404	512
274	5428	493
275	5452	474
276	5473	454
277	5493	434
278	5515	415
279	5536	395
280	5558	375
281	5579	356
282	5601	336
283	5621	316
284	5641	296
285	5661	277
286	5678	257
287	5698	237
288	5717	217
289	5737	197
290	5759	178
291	5778	158
292	5797	138
293	5817	118
294	5836	98
295	5857	79
296	5877	59
297	5897	39
298	5918	19
299	5941	0
