페이지	키워드	제목	URL
1	자전거	천안시의회 육종영 의원, 일자리 창출, 농업인 지원 촉구	
1	자전거	의대생 삶 앗아간 무서운 한강 “안전은 어디에?”	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=296&aid=0000049752
1	자전거	자전거 탄 초등학생, 좌회전 승용차와 충돌…병원 이송 후 사망	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005324829
1	자전거	서울 길음동에서 차량·자전거 충돌...초등학생 사망	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001582434
1	자전거	자전거 타던 초등학생, 아파트 나오던 승용차와 충돌해 사망	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=469&aid=0000601491
1	자전거	노인 변비, ‘노쇠 신호’일 수 있어 주의해야	
1	자전거	성북구서 좌회전 차량과 자전거 충돌…초등학생 숨져	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011036151
1	자전거	서울 길음동에서 차량·자전거 충돌...초등학생 사망	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001582423
1	자전거	성북구서 자전거 타던 초등생, 승용차와 정면충돌…사망	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003499218
1	자전거	좌회전 차량과 초등생 자전거 충돌…초등생 사망	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=055&aid=0000891351
2	자전거	이재정 의원, 특별조정교부금 11억 5천만원 확보"	
2	자전거	서울시설공단, 따릉이 정비 효율 높이는 작업대 6개 정비센터에 배치	
2	자전거	자전거 타던 초등생 차량 충돌로 사망···어린이보호구역은 아냐	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003904688
2	자전거	성북구서 좌회전 차량과 자전거 충돌…초등생 사망	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012366445
2	자전거	내리막길 자전거 타던 초등생, 승용차 정면충돌 사망	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010476832
2	자전거	개불 생태계 파괴 '빠라뽕' 사용 못한다	
2	자전거	[백운기의 뉴스와이드] 이춘희 "세종시, 행정도시 결정 났고, 이미 반 이상 건설…행정수도 활용이 옳은 일"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001572962
2	자전거	[B tv 한빛뉴스][데스크 노트] 위험천만 공유 킥보드 해법은 없나?	
2	자전거	[Opinion] 풍경은 가고 사람은 남는다 [여행]	
2	자전거	[팝업★]문희준♥소율 딸 잼잼이, 생애 첫 자전거 타기.."처음 맞아?"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=112&aid=0003428166
3	자전거	문희준♥소율 딸, 기특하게 벌써 자전거도 타네..엄빠 빼다박은 인형	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=112&aid=0003428143
3	자전거	대전시 다함께돌봄원스톱통합지원센터, 거점온돌방 출범식	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004581196
3	자전거	[MAY 2021 ] Fortune	
3	자전거	[IT오늘] SK텔레콤, AI 활용 의료 진단 보조 솔루션 개발…KT, 디즈니·해리포터 등 가정의 달 이벤트	
3	자전거	포스코건설, '더샵 양평리버포레' 30일 견본주택 개관	
3	자전거	코로나로 바깥활동 줄어든 자녀에게 '어린이날 선물' 자전거 어때요~	
3	자전거	[메아리] 나쁜 버블, 좋은 버블	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=469&aid=0000601437
3	자전거	포스코건설 '더샵 양평리버포레' 견본주택 개관	
3	자전거	나만의 취향대로 즐기는 4색 캠핑 라이프	
3	자전거	고양시, 공유자전거 ‘타조’ 내달부터 1천대 정식 운영	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001435560
