번호	글쓴이	날짜	조회수	추천수	댓글수	제목	URL	본문
1	쓰니	2022.03.21 12:23	179	1	0	착했던 과거 중국인	https://pann.nate.com/talk/365603328?page=1	
2	난나야	2022.03.20 15:29	261	0	0	프리지아^^	https://pann.nate.com/talk/365590633?page=1	아주 가끔 집에 꽃을 사러가는 꽃집이 있어요. 장미 한송이 정도..요즘은 프리지아 한단사서 향기를 느낍니다. 근데요.. 제가 다니는 꽃집의 놀라운 발견!! 꽃 팔아서 불우이웃돕기 하신다는 얘기.. 설마??했는데 꽃집에 구청장 표창장도 있고,알바 말로는 장애인 시설 봉사활동과 꽃집 근처의 한부모 가정 어린이들 에게 기부하고 있다고!! 그것도 네곳의 가정에 기부 한다네요^^ 진실은 사장님께 확인해봐야 겠지만  이런 꽃집은 칭찬해야 될거 같아서 적어요. 우리 동네 꽃집 라온제나플라워 흥해라.야호^^ 면밀히 탐구중~  문제시 삭제 할게요.
3	ㅇㅇ	2022.03.19 12:41	110	0	0	길고양이 유튜버의 성희롱 후원금 사...	https://pann.nate.com/talk/365575271?page=1	안녕하세요  저는 2020년 우연히 양산 A채널이라는 길고양이 유튜브를 구독했다가  후원품 ,후원금,슈퍼챗등 약 500ㅡ700만원 정도를 날린 사람입니다  처음에는 진짜 멋도 모르고 좋은분들이겠거니하고 후원했다가  뜬금없이 유튜브 슈퍼챗을 본인 용돈및 생활비 명목으로 쓰겠다고(현재 플레이보드 총수입 1억 6천/세금 포함) 하고 길고양이 쉼터 또는 아파트를 프라임집사님(길냥이 쉼터지기)에게 노후 보장으로 드린다고 했다가 나중에는 여동생 명의로 하겠다고 하고 그 쉼터 가격이 6800만원이고(양산 해강아파트)인테리어 및 소품까지 합치면 거의 1억 가까이 됩니다  여동생은 길냥이 쉼터나 급식소에 아무 상관없는 사람이고 길냥이 급식소도 프라임집사님 급식소입니다(약 30ㅡ40군데)  그는 길냥이 급식소와 아픈 길냥이를 상대로 엄청난 후원품과 후원금및 유튜브 수익금을 챙겼고 정작 그 쉼터지기한테는 월 50만원(쉼터 운영비+생활비+월급)주면서 쉼터에 필요한 화장지나 비누같은 생필품은 신경도 안썼답니다(증인 있음)  그리고 프라임집사님께서(양산 길냥이 쉼터 운영자) 그 쉼터를 나오실때 그 채널 구독자들의 만행으로 기초수급 560만원을 토해내는 불이익을 당했습니다  프라임집사님께서는 8개월동안 월 50만원을 받고 24시간 근무 했으며 20년 11월부터 21년1월까지 그 채널장한테 수고비로 300+ 200 +100을 받으셨는데 그 돈을 기초 수급으로 신고 당해서 지금 변제중이십니다  지금 그 분은 기초수급 50만원대에서 40만원대로 떨어져서 방세 내면 남는것이 없어 어렵게 사십니다  그럼에도 불구하고 그들의 패악질은 끝나지 않았고 지난 11개월동안(21년 4월부터 22년 1월까지)엄청난 마녀사냥과 집단린찌로 괴롭힘를 당하다가 올해 드디어 그 채널장과 구독자 1명을 고소하였습니다  그리고 그 채널장은(64년 용띠) 옛날부터 12살 띄동갑 연하를 원한다는 궤변론을 펼치며 실제로도 12살이하 미혼 여성에게(76년 용띠) 전 처 거xx가 커서 이혼했다는둥 입에 담지 못할 언어 폭행으로 성추행을 하다가 현재 고소당했습니다  현재 그 채널장은 성추행, 후원금 혐의 있음으로 검찰에 기소중입니다  그렇치만 그채널은 이미 집단화,종교화가(우리뚱,잠정중단tv,엔서포트tv 2/엔서포트tv3) 되어서 사태 파악을 못하고 새로운 구독자를 끌어 들이며 그들의 눈에 거슬리는 사람은 암 환자여도(옥주모,물망초) 무참히 짓밟는 비인간적인 행동을 보이며 제 채널도(김말짜) 그들의 신고로 파괴되었습니다  길고양이를 응원하는 여러분 그들의 만행을 도와주세요  여기서 멈춰야합니다  진짜 길냥이한테 돌아가야할 후원금 후원품이 개인의 욕심으로 그 가족으로까지도 돌아가고 있습니다  여동생은 쉼터를 운영한다는 명목하에 후원금에서 월 200만원을 받습니다  그 채널장은 하는일도 없이 영상 찍고 편집하면서 유튜브의 눈 먼 돈을 챙겨가는 부도덕한 만행을 저지르고 있습니다  타 카페나 사단법인 단체도 지금 저희와 연대하고 있으며 여러분들도 타 카페및 단체에 널리널리 퍼트려 주십시요  궁금하신분은 010 4127 5662로 전화 주시고 gimmee815@naver.com으로 이메일 주십시요 전화는 목이 아파서 길게 통화 못합니다  ﻿...ㅡㅡㅡㅡ
4	뮤뮤	2022.03.18 14:29	1,858	7	1	하버드vs프린스턴vs예일대 ...	https://pann.nate.com/talk/365563332?page=1	빌게이츠 + 마크 저커버그도 추가요~! 찐 하버드생 이나딘(k-인재) 톡파원이 하버드에 대해서 알려줌 ㅇㅇ 힙한 하버드생 너무 쿨섹시해ㅠㅠㅜㅜㅜ 그래도 합격 소식은 못 참지ㅋㅋㅋㅋㅋㅋㅋ합격찐반응ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하버드,프린스턴,예일 모두 합격한 능력자심 ㅠㅠ   다시 본론으로 돌아와서 하버드 랜선탐방 시작!!그럼 ‘하버드’ 는 왜 ‘하버드’ 일까?17세기 청교도 목사였던 존 하버드의 재산 절반의 기부로위기에서 벗어난 학교는 그를 잊지않기 위해 학교명을 하버드로 바꿨고, 그게 지금까지 이어져 오는 것!  실제로 있는 전설이라 너나할것없이동상의 발을 만지고 다녔다는데… 찐 하버드생 피셜,,하버드에는 졸업하기 위한 4가지 전설이 있는데그 중 하나가 동상 발에….........ㅠ 말잇못ㅋㅋㅋㅋㅋㅋㅋㅋ재학생들은 아무도 안 만진다고 함ㅋㅋㅋㅋㅋ 고풍스러운 분위기부터가 장난아님ㅠ 여기는 1학년 전용 학생식당으로 2,3학년들은 아침만 먹을 수 있다고 함 1학년 식당이 따로 있는 이유는친구만들라고 ㅋㅋㅋㅋ 너무 뽀짝한 이유 >< 하지만 저긴 하버드니깐..오늘 내 친구가 내일의 대통령…...!?마지막으로하버드생이 알려주는 합격 썰!!>>>>> 진짜 세상에 머리좋은 사람들이 얼마나 많겠음…SAT점수는 정말 다 높다고 봐도 무방하기 때문에 오히려 인터뷰에서 차별점을 둬야 합격 가능성이 높아진다고 함  갓나딘…존멋..ㅠ  이 후로는 본인이 대화를 모두 이끌고질문도 없었다고 함 ㅇㅇ 정말 잘했을 듯… 무기가 있다는 말 엄청 멋있음ㅠ 마지막까지 멋진 톡파원이었음ㅇㅇㅇ하버드 땅 한번 밟아볼 수 있을지 모르지만모두 자신만의 무기를 갈고닦아 빛나는 인생을 살자굿럭!!!
5	쓰니	2022.03.18 01:30	522	0	0	칭찬	https://pann.nate.com/talk/365559779?page=1	저가 돈받고 댓글 달지도 않고 본인 회사 선전도 아니고 통신 폰 회사 칭찬인데 여기는 번호이동 하려는 가입고객한테 유심 택배오는것 받아 두었다가 전화가 통화가 안되면 받아 둔 유심을 장착하면되요. 얼마나 멋집니까 다른 폰회사는 유심 택배갈때까지 24시간 폰 사용 못한다 또는 번호이동 개통 전화올때까지 이동 못하고 대기 하지 않아요 저는 티플러스회사 알뜰폰 사용하는데 티플러스 알뜰폰에서 이 멋진 아이디어를 봤기에 적었읍니다.
6	쿠팡찾아요	2022.03.18 01:00	102,376	1238	75		https://pann.nate.com/talk/365559322?page=1	오늘 부천에서 너무나 충격적인 일이 일어났습니다어머니가 편찮으셔서 밤에는 자전거를 타고 배달을 ,낮에는 왁싱샵 에서 근무하는 성실한 제 친구가손님으로 가장해 들어온 몰카범의 촬영용 보조배터리를 발견한 후 빼앗아 신고하고 경찰관을 기다리는 도중 해당 몰카범은 도주하기 위해 제 친구를 목조르고넘어뜨린 후 명치 바로 윗 부분을 발로 가격하여제 친구가 벽에 머리를 박고 넘어져서해당 몰래 카메라용 보조 배터리를 손에서 놓친 틈을 타 불법촬영증거를 들고 몰카범이 도망 가는 와중에 제 친구는필사적으로 샵 밖을 뛰쳐 나갔고 살려달라는 라는부르짖음에 해당 상가에 있던 쿠팡 기사님께서주저 없이 바로 남성을 제압하여 도와 주셨습니다그 와중에도 몰카범은 택배 기사님 멱살을 잡고폭행을 하며 도망 가려고 안간 힘을 썼고그자리에서 여자인 제 친구가 할 수 있는 건들고있던 핸드폰으로 동영상을 켠 후 "기사님 폭행 하지 마셔라 모든 증거를 찍고 있다 그럴 수록 범죄 사실만 더 드러날 뿐이다 가만히 계셔라"라며 손을 덜덜떨면서 촬영할 수 밖에 없었고 기사님은 제친구에게다친 곳은 없는지 꼭 잡고 있을테니 안심하라고경찰 올 때까지 안전한 곳으로 피해 있으라고 하시며끝까지 자리를 지켜주셨습니다지금 시대가 어느시댄데 젊은 친구가 사람 인생 하나 망치려고 이런 짓을 하냐며같이 분노 해 주시고제 친구가 기사님께 연락처를 물어 봤지만당연히 도와줄 일을 했다고 하시며그냥 가버리셨습니다 친구는 커뮤니티도 SNS 도안 하기 때문에 이를 찾을 방법이 없어 쿠팡 고객센터에 전화 했지만 같은 지역 같은 건물이어도기사님이 한두명이 아니라 찾을 수가 없다는 답변만 받았습니다 하지만 이렇게 도움을 받은 이상 꼭 이 분을 찾아 감사 인사를전해 드리고 싶다고 부탁했으며 친구 부모님 또한 너무 놀라 경황이 없으셨지만 변호사를 만나 뵌 후 안정을 찾았고 기사님께감사 인사를 드려야 될 거 같아 고민 하던 와중에이렇게 글을 올리게 되었습니다이 기사 님을 찾을 수 있게 도와주세요부천 중동 초앤유맞은편 상가 오후1시경 배달해주신쿠팡 기사님 입니다더불어 밑에 영상 속 음성은 몰카범이 샵에서도주 하면서 제 친구 목을 조르고 폭행하는 소리그리고 제 친구가 울부짖으며 살려 달라고뛰쳐 나가는 음성이 있으므로 충격 받으실 수 있으니미리 준비 주의 부탁드립니다같이 뛰어 나갔다가 큰일이라도 났으면 어떻게 하려고 했냐고 했더니 불법촬영이 유포 되어 자살 하는 거나 같이 뛰어 나가서 맞아 죽는 거나 뭐가 다르겠냐고 이 방법 밖에 없었다며 손 발을 사시나무 떨듯이 떠는친구를 보니 너무 울화가 치밀어 오릅니다내 주변에도 몰카를 당하다니 정말 이제 더 이상 남일이 아니구나 여자라면 어디서든 누구든지 당할 수 있구나 이 생각에 너무 무서운 밤입니다계남지구대에서 경찰관들이 출동 하여 몰카범 보조배터리 와 핸드폰 전부 압수하였고 왜 현행범을 긴급체포를 안했는지 모르겠지만 다행히 증거물은 압수 되었으니 이제 법의 심판만 남은 상태입니다친구는 현재 뇌진탕증세로 입원한 상태입니다(몰카범이 사용한 보조배터리형 초소형 몰래카메라) 영상 보실 때 소리 조심하세요https://youtube.com/shorts/IumrUcev9UM?feature=share
7	춏쵸	2022.03.16 14:06	363	0	0	진짜 존잘이다 ㅋㅋㅋㅋㅋㅋㅋ	https://pann.nate.com/talk/365538918?page=1	주지훈 팬이라 알게된 게임인데 사전예약 하고왔어요 ㅋㅋㅋ   저레벨에선 바로 국가전 이런거 안되는 게임이 많던데   킹덤삼국은 가능하다고 하네요?  병아리들 싸움 기대해봅니닼ㅋㅋㅋㅋㅋㅋㅋ
8	ㅇ	2022.03.16 10:25	5,615	16	12	인생 모르는 거더라	https://pann.nate.com/talk/365537782?page=1	평범한 공대생 평범한 직장인이었다  취미로는 꾸준히 작곡을 하고있었다  그땐 회사를 다니면서는 앞으로 내 집 하나 제대로 장만 못하고 빌빌거리면서 살 내 미래가 절망적이었지  뭘 어떻게 해야할까 고민하면서 내가 잘하는 것들을 생각해봤다  스마트스토어라도 해야할까  투자?  작곡?  그나마 가능성있는 작곡쪽으로 해보기로 했다  그쪽도 가능성으로는 암담하기만 해서 주변에서도 어이없다는 듯이 바라봤고 그쪽에 걸고서 회사생활과 동시에 그쪽 길을 알아보는 나를 보며 내가 가장 사랑한 사람은 허황된 사람이라며 떠나갔다  쓸쓸했다  외로웠다  분했다  난 지금 이걸  내 눈 앞에 이걸 그냥 무조건 해내기로 했다  그냥 했다  아파도 했고 싫어도 했고 질려도 했고 죽고싶어도 했다  그 사람이 너무 보고싶어 절절히 슬픈 날에도 방에 틀어박혀 곡을 썼다   바뀌어갔다  인생이 바뀌고 있었다  아티스트들이 내가 보낸 곡들에 연락이 오기 시작했고  내 인생은 갑자기 생각하지도 못했던 방향으로 흘러가고 있었다   그 지옥같은 면벽수련  잠도 자지않고 작업하고 회사에서 코피를 흘리며 쓰러질뻔 하기도 여러번이었다  결국 해냈다  내 비트로 만든 곡은 히트를 쳤고 서울에 집을 샀다  회사를 그만뒀다  인생이 바꼈다   예전의 나에겐 분명 과분한 사람들이 다가왔다  분에 넘치는 사랑을 받고 멋진 사람들이 내게 다가왔다    이 글은 내 성공에 대한 자랑이기도 하지만  동시에 누구나 할 수 있다는 메세지이기도 하다  난 그냥 취미생활이었다  공대생이 음악으로 성공가도를 가게됐다  누구나 할 수 있다  그냥 해라  앉아서 당신이 하기로 한 것  이루기로 한 것을 해라  잘 모르겠으면 관련된 무엇이라도 잡고 늘어져라  생각하고 또 생각하고 노이로제에 걸려라  내가 생각하는 노력의 딱 5배만 더 해라  성공의 가이드라인이 있다면 그것 뿐이다   지금 핸드폰을 내려놓고 당신이 해야할 것을 해라
9	ㅇㅇ	2022.03.15 12:20	26,482	166	41		https://pann.nate.com/talk/365525947?page=1	좀 있으면 우리 부모님 결혼 기념일인데 문득 정말 좋은 부모님을 만났다는 생각이 들어서 짧게 글 적어봄1. 살면서 부모님 싸우는 모습 본적 없음싸우는 모습을 본적도 없고 험한 말을 쓰는 것도 본적이 없음2. 지금도 밤에 한 침대에서 도란도란 이야기 나눔부모님보다 늦게 잠드는 경우가 많은데 소소한 이야기 (하루 어땠는지) 잠들기 전에 나누는게 들림3. 엄마는 항상 아빠 같은 남자 만나라고 함아빠 완전 딸바보고 옛날부터 가끔씩 엄마한테 꽃 사다줌4. 두분다 음주/흡연 안하심그래서 나는 성인 될때까지 술냄새를 몰랐음
10	ㅇㅇ	2022.03.14 12:33	933	15	4	이번이대남들 군대 길게 다녀...	https://pann.nate.com/talk/365513199?page=1	월 200지급은 현실적으로 당분간은 안될거고 ㅋㅋㅋㅋㅋㅋ다시 2년 가즈아!!!!!!!!!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 판녀들이 썼다고 ㅈㄹ할까봐 미리 말할게. 05년 1월 군번 민방위 아재입니다 ㅋㅋㅋㅋㅋ
